poem	emotion1	emotion2
Auf lange Krücken schief herabgebückt	Uneasiness	Humor
Und schwatzend kriechen auf dem Feld zwei Lahme.	Uneasiness	Humor
Ein blonder Dichter wird vielleicht verrückt.	Uneasiness	Humor
Ein Pferdchen stolpert über eine Dame.	Uneasiness	Humor
An einem Fenster klebt ein fetter Mann.	Uneasiness	Humor
Ein Jüngling will ein weiches Weib besuchen.	Uneasiness	Humor
Ein grauer Clown zieht sich die Stiefel an.	Uneasiness	Humor
Ein Kinderwagen schreit und Hunde fluchen.	Uneasiness	Humor
Am Abend tönen die herbstlichen Wälder	Uneasiness	Uneasiness
Von tötlichen Waffen, die goldnen Ebenen	Uneasiness	Uneasiness
Und blauen Seen, darüber die Sonne	Uneasiness	Uneasiness
Düster hinrollt; umfängt die Nacht	Uneasiness	Uneasiness
Sterbende Krieger, die wilde Klage	Uneasiness	Uneasiness
Ihrer zerbrochenen Münder.	Uneasiness	Uneasiness
Doch stille sammelt im Weidengrund	Uneasiness	Uneasiness
Rotes Gewölk, darin ein zürnender Gott wohnt,	Uneasiness	Uneasiness
Das vergossne Blut sich, mondne Kühle;	Uneasiness	Uneasiness
Alle Straßen münden in schwarze Verwesung.	Uneasiness	Uneasiness
Unter goldnem Gezweig der Nacht und Sternen	Sadness	Sadness
Es schwankt der Schwester Schatten durch den schweigenden Hain,	Sadness	Sadness
Zu grüßen die Geister der Helden, die blutenden Häupter;	Sadness	Sadness
Und leise tönen im Rohr die dunkeln Flöten des Herbstes.	Sadness	Sadness
O stolzere Trauer! ihr ehernen Altäre,	Sadness	Sadness
Die heiße Flamme des Geistes nährt heute ein gewaltiger Schmerz,	Sadness	Sadness
Die ungebornen Enkel.	Sadness	Sadness
Wenn du zur Arbeit gehst	Suspense	Vitality
am frühen Morgen,	Suspense	Vitality
wenn du am Bahnhof stehst	Suspense	Vitality
Mit deinen Sorgen:	Suspense	Vitality
da zeigt die Stadt	Sadness	Sadness
dir asphaltglatt	Sadness	Sadness
im Menschentrichter	Sadness	Sadness
Millionen Gesichter:	Sadness	Sadness
Zwei fremde Augen, ein kurzer Blick,	Sadness	Sadness
die Braue, Pupillen, die Lider ?	Sadness	Sadness
Was war das? vielleicht dein Lebensglück...	Sadness	Sadness
vorbei, verweht, nie wieder.	Sadness	Sadness
Du gehst dein Leben lang	Sadness	Awe / Sublime
auf tausend Straßen;	Sadness	Awe / Sublime
du siehst auf deinem Gang,	Sadness	Awe / Sublime
die dich vergaßen.	Sadness	Awe / Sublime
Ein Auge winkt,	Sadness	Sadness
die Seele klingt;	Sadness	Sadness
du hasts gefunden,	Sadness	Sadness
nur für Sekunden...	Sadness	Sadness
Zwei fremde Augen, ein kurzer Blick,	Sadness	Sadness
die Braue, Pupillen, die Lider;	Sadness	Sadness
Was war das? kein Mensch dreht die Zeit zurück...	Sadness	Sadness
vorbei, verweht, nie wieder.	Sadness	Sadness
Du mußt auf deinem Gang	Sadness	Vitality
durch Städte wandern;	Sadness	Vitality
siehst einen Pulsschlag lang	Sadness	Vitality
den fremden Andern.	Sadness	Vitality
Es kann ein Feind sein,	Sadness	Beauty / Joy
es kann ein Freund sein,	Sadness	Beauty / Joy
